,FIS code,Athlete,Year,Nation,Podiums,Wins,Top 10
261,3482260,SOBAKAREV Andrey,1996.0,RUS,0.0,0.0,1.0
262,3100268,KENNEDY Russell,1991.0,CAN,0.0,0.0,0.0
263,3190481,MANCINI Tom,1998.0,FRA,0.0,0.0,0.0
264,3290533,HELLWEGER Michael,1996.0,ITA,0.0,0.0,1.0
265,3510451,SCHAAD Roman,1993.0,SUI,0.0,0.0,1.0
266,3510566,MATOSSI Livio,1997.0,SUI,0.0,0.0,0.0
267,3290696,DELLAGIACOMA Stefano,1999.0,ITA,0.0,0.0,0.0
268,3050159,TRITSCHER Bernhard,1988.0,AUT,0.0,0.0,0.0
269,3510588,RIEBLI Janik,1998.0,SUI,0.0,0.0,0.0
270,3390167,ALEV Alvar Johannes,1993.0,EST,0.0,0.0,0.0
271,3510636,GULER Florian,1999.0,SUI,0.0,0.0,0.0
272,3520046,DURSUN Hamza,1994.0,TUR,0.0,0.0,0.0
273,3710044,ERIC Strahinja,2000.0,BIH,0.0,0.0,0.0
274,3040108,POLLOCK Mark,1992.0,AUS,0.0,0.0,0.0
275,3425703,SLIND Kari Oeyre,1991.0,NOR,0.0,0.0,0.0
276,3105095,NISHIKAWA Emily,1989.0,CAN,0.0,0.0,0.0
277,3045076,YEATON Jessica,1991.0,AUS,0.0,0.0,0.0
278,3505998,OLSSON Moa,1997.0,SWE,0.0,0.0,0.0
279,3295147,PELLEGRINI Sara,1986.0,ITA,0.0,0.0,0.0
280,3295144,DEBERTOLIS Ilaria,1989.0,ITA,0.0,0.0,0.0
281,3195289,DOLCI Flora,1999.0,FRA,0.0,0.0,0.0
282,3515238,HIERNICKEL Lydia,1996.0,SUI,0.0,0.0,0.0
283,1345875,GAILLARD Jean Marc,1980.0,FRA,0.0,0.0,2.0
284,3190529,LAPALUS Hugo,1998.0,FRA,0.0,0.0,1.0
285,3460018,PEPENE Paul Constantin,1988.0,ROU,0.0,0.0,0.0
286,3500991,WESTBERG Karl-Johan,1992.0,SWE,0.0,0.0,0.0
287,1362656,LIVERS Toni,1983.0,SUI,0.0,0.0,0.0
288,3150509,KNOP Petr,1994.0,CZE,0.0,0.0,0.0
289,3510472,BIELER Livio,1993.0,SUI,0.0,0.0,0.0
290,3510510,DANUSER Dajan,1996.0,SUI,0.0,0.0,0.0
291,3150519,FELLNER Adam,1993.0,CZE,0.0,0.0,0.0
292,3510421,DANUSER Marius,1992.0,SUI,0.0,0.0,0.0
293,3482119,CHERVOTKIN Alexey,1995.0,RUS,0.0,0.0,2.0
294,3290417,FANTON Paolo,1991.0,ITA,0.0,0.0,0.0
295,3501587,BERGLUND Gustaf,1998.0,SWE,0.0,0.0,0.0
296,3510513,CAPELLI Marino,1996.0,SUI,0.0,0.0,0.0
297,3290611,ROMANO Lorenzo,1997.0,ITA,0.0,0.0,0.0
298,3430276,HARATYK Mateusz,1998.0,POL,0.0,0.0,0.0
299,3510361,PRALONG Candide,1990.0,SUI,0.0,0.0,0.0
300,3520061,AYCICEK Omer,1995.0,TUR,0.0,0.0,0.0
301,3390209,RABAKUKK Karl Erik,1997.0,EST,0.0,0.0,0.0
