109,18,5.0,3421320,IVERSEN Emil,1991.0,NOR,2:44.84,+7.42,56.56,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
110,19,39.0,3180865,VUORINEN Lauri,1995.0,FIN,2:44.99,+7.57,57.71,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
111,20,32.0,3500330,PETERSON Teodor,1988.0,SWE,2:45.26,+7.84,59.76,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
112,21,21.0,3481163,RETIVYKH Gleb,1991.0,RUS,2:45.28,+7.86,59.92,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
113,22,12.0,3500664,HALFVARSSON Calle,1989.0,SWE,2:45.35,+7.93,60.45,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
114,23,18.0,3190323,CHANAVAT Lucas,1994.0,FRA,2:45.61,+8.19,62.43,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
115,24,45.0,3481988,SEMIKOV Ilia,1993.0,RUS,2:45.63,+8.21,62.58,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
116,25,57.0,3180984,LEPISTO Lauri,1996.0,FIN,2:45.64,+8.22,62.66,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
117,26,20.0,3290379,DE FABIANI Francesco,1993.0,ITA,2:45.74,+8.32,63.42,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
118,27,68.0,3180436,MIKKONEN Juho,1990.0,FIN,2:45.92,+8.50,64.79,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
119,28,52.0,3560121,LAMPIC Janez,1996.0,SLO,2:46.20,+8.78,66.93,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
120,29,30.0,3481432,MALTSEV Artem,1993.0,RUS,2:46.29,+8.87,67.62,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
121,30,28.0,3501255,SVENSSON Oskar,1995.0,SWE,2:46.33,+8.91,67.92,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
122,31,60.0,3670075,BORTSOV Konstantin,1995.0,KAZ,2:46.35,+8.93,68.07,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
