,Rank,Bib,FIS code,Athlete,Year,Nation,Time,Diff. Time,FIS Points,Event,Place,Date,Result Type,Season
4284,18,24,3290379,DE FABIANI Francesco,1993,ITA,1:15:07.4,+1:26.8,27.49,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4285,19,25,3482119,CHERVOTKIN Alexey,1995,RUS,1:15:08.3,+1:27.7,27.77,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4286,20,17,3200205,BOEGL Lucas,1990,GER,1:15:20.1,+1:39.5,31.51,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4287,21,29,3180508,HAKOLA Ristomatti,1991,FIN,1:15:23.4,+1:42.8,32.56,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4288,22,34,3481755,VOKUEV Ermil,1992,RUS,1:15:24.1,+1:43.5,32.78,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4289,23,62,3510479,RUEESCH Jason,1994,SUI,1:15:24.6,+1:44.0,32.94,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4290,24,9,3180557,HYVARINEN Perttu,1991,FIN,1:15:26.5,+1:45.9,33.54,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4291,25,5,3481539,USTIUGOV Sergey,1992,RUS,1:15:28.6,+1:48.0,34.20,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4292,26,19,3190529,LAPALUS Hugo,1998,FRA,1:15:32.2,+1:51.6,35.34,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4293,27,44,3250038,EINARSSON Snorri Eythor,1986,ISL,1:15:34.9,+1:54.3,36.20,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4294,28,28,3530496,NORRIS David,1990,USA,1:15:41.6,+2:01.0,38.32,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4295,29,26,3500015,RICHARDSSON Daniel,1982,SWE,1:16:00.5,+2:19.9,44.31,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4296,30,39,3430249,BURY Dominik,1996,POL,1:16:04.8,+2:24.2,45.67,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4297,31,50,3200802,MOCH Friedrich,2000,GER,1:16:08.9,+2:28.3,46.97,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4298,32,16,3190302,PARISSE Clement,1993,FRA,1:16:14.2,+2:33.6,48.64,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4299,33,48,3200331,WICK Thomas,1991,GER,1:16:27.1,+2:46.5,52.73,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4300,34,37,3290600,DAPRA Simone,1997,ITA,1:16:28.3,+2:47.7,53.11,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4301,35,40,3510534,KLEE Beda,1996,SUI,1:16:38.9,+2:58.3,56.47,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4302,36,46,3180301,LEHTONEN Lari,1987,FIN,1:16:39.8,+2:59.2,56.75,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4303,37,47,3290504,VENTURA Paolo,1996,ITA,1:16:42.2,+3:01.6,57.51,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4304,38,18,3190268,BACKSCHEIDER Adrien,1992,FRA,1:16:45.3,+3:04.7,58.49,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4305,39,27,3501010,HAEGGSTROEM Johan,1992,SWE,1:16:49.3,+3:08.7,59.76,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4306,40,36,3670115,PUKHKALO Vitaliy,1992,KAZ,1:16:50.2,+3:09.6,60.05,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4307,41,65,3510513,CAPELLI Marino,1996,SUI,1:16:54.9,+3:14.3,61.53,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4308,42,21,3020003,ESTEVE ALTIMIRAS Ireneu,1996,AND,1:16:55.6,+3:15.0,61.76,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4309,43,72,3510361,PRALONG Candide,1990,SUI,1:16:56.0,+3:15.4,61.88,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4310,44,45,3460018,PEPENE Paul Constantin,1988,ROU,1:16:58.8,+3:18.2,62.77,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4311,45,56,3490145,ROJO Imanol,1990,ESP,1:17:10.1,+3:29.5,66.35,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4312,46,58,3200786,FAESSLER Josef,1998,GER,1:17:34.4,+3:53.8,74.04,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4313,47,67,3150519,FELLNER Adam,1993,CZE,1:17:34.5,+3:53.9,74.08,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4314,48,32,3290407,SALVADORI Giandomenico,1992,ITA,1:17:37.7,+3:57.1,75.09,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4315,49,55,3290245,NOECKLER Dietmar,1988,ITA,1:18:02.0,+4:21.4,82.79,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4316,50,53,3180984,LEPISTO Lauri,1996,FIN,1:18:41.1,+5:00.5,95.17,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4317,51,57,3290611,ROMANO Lorenzo,1997,ITA,1:19:55.2,+6:14.6,118.64,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4318,52,61,3700081,KORISTEK Jan,1996,SVK,1:20:27.3,+6:46.7,128.80,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4319,53,66,3270010,MALONEY WESTGAARD Thomas,1995,IRL,1:20:55.9,+7:15.3,137.86,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4320,54,54,3300190,YOSHIDA Keishin,1987,JPN,1:21:01.6,+7:21.0,139.66,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4321,55,52,3670078,KLIMIN Olzhas,1996,KAZ,1:21:31.9,+7:51.3,149.26,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4322,56,63,3670022,VELICHKO Yevgeniy,1987,KAZ,1:21:33.4,+7:52.8,149.74,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4323,57,43,3200219,MAETTIG Valentin,1990,GER,1:21:34.1,+7:53.5,149.96,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4324,58,38,3501255,SVENSSON Oskar,1995,SWE,1:22:16.8,+8:36.2,163.48,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4325,59,68,3430276,HARATYK Mateusz,1998,POL,1:22:41.3,+9:00.7,171.24,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4326,60,69,3390240,HIMMA Martin,1999,EST,1:23:27.8,+9:47.2,185.97,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4327,61,41,3500991,WESTBERG Karl-Johan,1992,SWE,1:24:10.8,+10:30.2,199.58,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4328,1,21,3486010,NEPRYAEVA Natalia,1995,RUS,3:38.08,3:38.08,0.00,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4329,2,5,3565062,LAMPIC Anamarija,1995,SLO,3:39.51,+1.43,7.87,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4330,3,1,3535410,DIGGINS Jessica,1991,USA,3:40.32,+2.24,12.33,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4331,4,16,3535320,MAUBET BJORNSEN Sadie,1989,USA,3:40.43,+2.35,12.93,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4332,5,3,3426112,STENSETH Ane Appelkvist,1995,NOR,3:40.57,+2.49,13.70,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4333,6,26,3425381,SVENDSEN Anna,1990,NOR,3:41.18,+3.10,17.06,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4334,7,12,3425183,JACOBSEN Astrid Uhrenholdt,1987,NOR,3:41.24,+3.16,17.39,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4335,8,8,3185137,KYLLOENEN Anne,1987,FIN,3:42.02,+3.94,21.68,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4336,9,18,3535304,CALDWELL Sophie,1990,USA,3:43.46,+5.38,29.60,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4337,10,20,3515221,FAEHNDRICH Nadine,1995,SUI,3:43.69,+5.61,30.87,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4338,11,38,3535316,BRENNAN Rosie,1988,USA,3:43.98,+5.90,32.47,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4339,12,4,3425499,WENG Heidi,1991,NOR,3:44.26,+6.18,34.01,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4340,13,7,3425301,JOHAUG Therese,1988,NOR,3:44.84,+6.76,37.20,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4341,14,35,3185168,NISKANEN Kerttu,1988,FIN,3:45.33,+7.25,39.89,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4342,15,19,3506166,SVAHN Linn,1999,SWE,3:45.70,+7.62,41.93,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4343,16,33,3426200,WENG Lotta Udnes,1996,NOR,3:45.87,+7.79,42.87,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4344,17,11,3295157,SCARDONI Lucia,1991,ITA,3:45.92,+7.84,43.14,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4345,18,10,3515087,VAN DER GRAAFF Laurien,1987,SUI,3:46.03,+7.95,43.75,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4346,19,14,3295193,LAURENT Greta,1992,ITA,3:46.15,+8.07,44.41,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4347,20,25,3485221,SHAPOVALOVA Evgenia,1986,RUS,3:46.15,+8.07,44.41,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4348,21,23,3185256,PARMAKOSKI Krista,1990,FIN,3:46.37,+8.29,45.62,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4349,22,17,3505800,DAHLQVIST Maja,1994,SWE,3:47.80,+9.72,53.48,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4350,23,6,3426201,WENG Tiril Udnes,1996,NOR,3:48.00,+9.92,54.59,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4351,24,32,3486563,MATSOKINA Hristina,1998,RUS,3:48.01,+9.93,54.64,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4352,25,51,3185633,NISSINEN Vilma,1997,FIN,3:48.37,+10.29,56.62,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4353,26,13,3506008,RIBOM Emma,1997,SWE,3:48.95,+10.87,59.81,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4354,27,48,3155314,RAZYMOVA Katerina,1991,CZE,3:49.40,+11.32,62.29,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4355,28,24,3205305,GIMMLER Laura,1993,GER,3:49.54,+11.46,63.06,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4356,29,9,3505809,SUNDLING Jonna,1994,SWE,3:50.36,+12.28,67.57,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4357,30,53,3435201,SKINDER Monika,2001,POL,3:50.56,+12.48,68.67,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4358,31,28,3205350,WINKLER Anne,1994,GER,3:51.19,+13.11,72.14,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4359,32,22,3506079,LUNDGREN Moa,1998,SWE,3:51.66,+13.58,74.72,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4360,33,45,3185114,MONONEN Laura,1984,FIN,3:52.00,+13.92,76.60,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4361,34,46,3155270,HYNCICOVA Petra,1994,CZE,3:52.34,+14.26,78.47,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4362,35,52,3105180,MACISAAC-JONES Maya,1995,CAN,3:52.36,+14.28,78.58,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4363,36,61,3295410,MONSORNO Nicole,2000,ITA,3:52.46,+14.38,79.13,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4364,37,57,3205407,FINK Pia,1995,GER,3:53.46,+15.38,84.63,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4365,38,50,3205491,FRAEBEL Antonia,1997,GER,3:53.71,+15.63,86.01,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4366,39,40,3105146,BEATTY Dahria,1994,CAN,3:53.87,+15.79,86.89,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4367,40,29,3205434,KREHL Sofie,1995,GER,3:53.93,+15.85,87.22,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4368,41,49,3205570,RYDZEK Coletta,1997,GER,3:53.99,+15.91,87.55,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4369,42,36,3205460,HENNIG Katharina,1996,GER,3:54.35,+16.27,89.53,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4370,42,56,3485862,ZHAMBALOVA Alisa,1994,RUS,3:54.35,+16.27,89.53,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4371,44,2,3505449,SOEMSKAR Linn,1989,SWE,3:54.58,+16.50,90.79,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4372,45,42,3055108,UNTERWEGER Lisa,1995,AUT,3:55.70,+17.62,96.96,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4373,46,62,3486373,SMIRNOVA Ekaterina,1996,RUS,3:55.73,+17.65,97.12,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4374,47,43,3205403,CARL Victoria,1995,GER,3:56.09,+18.01,99.10,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4375,48,59,3486314,KIRPICHENKO Yana,1996,RUS,3:56.38,+18.30,100.70,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4376,49,47,3555052,EIDUKA Patricija,2000,LAT,3:56.45,+18.37,101.08,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4377,50,54,3105214,STEWART-JONES Katherine,1995,CAN,3:56.66,+18.58,102.24,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4378,51,34,3185447,LYLYNPERA Katri,1994,FIN,3:56.98,+18.90,104.00,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4379,52,44,3205424,HERRMANN Nadine,1995,GER,3:57.02,+18.94,104.22,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4380,53,15,3565005,VISNAR Katja,1984,SLO,3:57.60,+19.52,107.41,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4381,54,37,3295370,FRANCHI Francesca,1997,ITA,3:57.72,+19.64,108.07,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4382,55,58,3435197,MARCISZ Izabela,2000,POL,3:58.17,+20.09,110.55,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4383,56,41,3155249,NOVAKOVA Petra,1993,CZE,3:58.36,+20.28,111.59,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4384,56,65,3675035,SHEVCHENKO Anna,1993,KAZ,3:58.36,+20.28,111.59,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4385,58,60,3125070,MA Qinghua,1995,CHN,3:58.49,+20.41,112.31,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4386,59,27,3565002,FABJAN Vesna,1985,SLO,3:58.79,+20.71,113.96,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4387,60,30,3155344,BERANOVA Tereza,1998,CZE,4:02.22,+24.14,132.83,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4388,61,63,3535385,PATTERSON Caitlin,1990,USA,4:02.26,+24.18,133.05,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4389,62,31,3705003,PROCHAZKOVA Alena,1984,SVK,4:02.39,+24.31,133.77,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4390,63,67,3435192,KOBIELUSZ Magdalena,2000,POL,4:02.65,+24.57,135.20,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4391,64,39,3665115,KIRILLOVA Anastasia,1996,BLR,4:03.28,+25.20,138.66,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4392,65,64,3105224,WEAVER Katherine,1997,CAN,4:04.16,+26.08,143.51,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4393,66,55,3535659,SONNESYN Alayna,1996,USA,4:04.78,+26.70,146.92,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4394,67,66,3675049,BYKOVA Irina,1993,KAZ,4:09.07,+30.99,170.52,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4395,68,69,3395139,UUSTALU Aveli,2000,EST,4:09.88,+31.80,174.98,Women's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4396,1,6,3422819,KLAEBO Johannes Hoesflot,1996,NOR,3:25.39,3:25.39,0.00,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4397,2,9,3422619,VALNES Erik,1996,NOR,3:28.11,+2.72,15.89,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4398,3,2,3420909,GOLBERG Paal,1990,NOR,3:30.42,+5.03,29.39,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4399,4,7,3290326,PELLEGRINO Federico,1990,ITA,3:32.31,+6.92,40.43,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4400,5,12,3421754,TAUGBOEL Haavard Solaas,1993,NOR,3:33.21,+7.82,45.69,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4401,6,22,3482277,BOLSHUNOV Alexander,1996,RUS,3:33.97,+8.58,50.13,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4402,7,1,3422115,TEFRE Gjoeran,1994,NOR,3:34.56,+9.17,53.58,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4403,8,24,3180508,HAKOLA Ristomatti,1991,FIN,3:34.95,+9.56,55.85,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4404,9,34,3180865,VUORINEN Lauri,1995,FIN,3:35.44,+10.05,58.72,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4405,10,26,3481775,KRASNOV Andrey,1994,RUS,3:36.36,+10.97,64.09,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4406,11,49,3482932,ARDASHEV Sergey,1998,RUS,3:36.37,+10.98,64.15,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4407,12,27,3290383,RASTELLI Maicol,1991,ITA,3:37.01,+11.62,67.89,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4408,13,20,3481163,RETIVYKH Gleb,1991,RUS,3:37.08,+11.69,68.30,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4409,14,28,3482806,TERENTEV Alexander,1999,RUS,3:37.23,+11.84,69.18,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4410,15,15,3501340,GRATE Marcus,1996,SWE,3:37.38,+11.99,70.05,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4411,16,31,3190353,CHAUVIN Valentin,1995,FRA,3:37.44,+12.05,70.40,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4412,17,8,3421164,SKAR Sindre Bjoernestad,1992,NOR,3:37.47,+12.08,70.58,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4413,18,17,3180535,NISKANEN Iivo,1992,FIN,3:37.55,+12.16,71.05,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4414,19,14,3510377,HEDIGER Jovian,1990,SUI,3:38.14,+12.75,74.49,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4415,20,21,3500664,HALFVARSSON Calle,1989,SWE,3:39.15,+13.76,80.39,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4416,21,19,3501255,SVENSSON Oskar,1995,SWE,3:39.26,+13.87,81.04,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4417,22,46,3180984,LEPISTO Lauri,1996,FIN,3:39.54,+14.15,82.67,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4418,23,60,3430233,BURY Kamil,1995,POL,3:39.63,+14.24,83.20,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4419,24,44,3481988,SEMIKOV Ilia,1993,RUS,3:39.71,+14.32,83.67,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4420,25,4,3500330,PETERSON Teodor,1988,SWE,3:39.77,+14.38,84.02,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4421,26,3,3501010,HAEGGSTROEM Johan,1992,SWE,3:39.80,+14.41,84.19,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4422,27,10,3190323,CHANAVAT Lucas,1994,FRA,3:40.20,+14.81,86.53,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4423,28,53,3200669,LEUPOLD Richard,1997,GER,3:40.40,+15.01,87.70,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4424,29,5,3560101,SIMENC Miha,1995,SLO,3:40.69,+15.30,89.39,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4425,30,56,3670077,DYUSSENOV Asset,1997,KAZ,3:41.01,+15.62,91.26,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4426,31,18,3481539,USTIUGOV Sergey,1992,RUS,3:41.22,+15.83,92.49,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4427,32,11,3530120,HAMILTON Simeon,1987,USA,3:41.33,+15.94,93.13,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4428,33,23,3180861,MAEKI Joni,1995,FIN,3:41.41,+16.02,93.60,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4429,34,47,3200210,EISENLAUER Sebastian,1990,GER,3:41.48,+16.09,94.01,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4430,35,29,3501252,JONSSON Olof,1995,SWE,3:41.95,+16.56,96.75,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4431,36,54,3670075,BORTSOV Konstantin,1995,KAZ,3:42.27,+16.88,98.62,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4432,37,16,3421320,IVERSEN Emil,1991,NOR,3:42.48,+17.09,99.85,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4433,38,37,3430103,STAREGA Maciej,1990,POL,3:42.49,+17.10,99.91,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4434,39,52,3300373,MIYAZAWA Hiroyuki,1991,JPN,3:42.59,+17.20,100.49,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
4435,40,30,3181098,SUHONEN Verneri,1997,FIN,3:42.65,+17.26,100.84,Men's SP  C Qual,Oberstdorf (GER),"Jan 26, 2020",Sprint Qualification,2020
